番号,"都道府県番号
市区町村
商業集積地（商店街）名",都道府県名,区番号,区名,区毎番号,名称,"集積
細分",Lat,Lng,事業所数,従業者数,年間商品販売額,売場面積,売場効率,従業員効率,理論売上との残差,理論売上,小型店事業所数,小型店従業者数,小型店年間商品販売額,小型店売場面積,小型店売場効率,小型店従業員効率,延べ店舗数2,大型店事業所数,大型店従業者数,大型店年間商品販売額,大型店売場面積,大型店売場効率,大型店従業員効率
37,23,愛知県,103,名古屋市北区,15,蒲喜商店街,13,35.234265,136.907766,16,112,1593,2189,1,14,657,2250,16,112,1593,2189,1,14,0,0,0,0,0,0,0
38,23,愛知県,103,名古屋市北区,19,黒川商業集積地区,13,35.197296,136.909363,25,100,938,1682,1,9,144,1082,25,100,938,1682,1,9,0,0,0,0,0,0,0
39,23,愛知県,103,名古屋市北区,21,ダイエー上飯田店商業集積地区,13,35.200898,136.92939,13,320,5707,10558,1,18,-3180,2527,0,0,0,0,0,0,1,13,320,5707,10558,1,18
40,23,愛知県,103,名古屋市北区,22,アピタ名古屋北商業集積地区,13,35.209166,136.923154,16,351,6520,13994,0,19,-5749,771,0,0,0,0,0,0,1,16,351,6520,13994,0,19
41,23,愛知県,104,名古屋市西区,2,円頓寺商店街,13,35.1761937,136.891815,6,24,160,292,1,7,79,239,6,24,160,292,1,7,0,0,0,0,0,0,0
42,23,愛知県,104,名古屋市西区,3,江川端通商店街,13,35.185953,136.886547,7,51,434,245,2,9,371,805,7,51,434,245,2,9,0,0,0,0,0,0,0
43,23,愛知県,104,名古屋市西区,4,弁天通商店街,13,35.1904155,136.908617,27,101,835,1174,1,8,332,1167,27,101,835,1174,1,8,0,0,0,0,0,0,0
44,23,愛知県,104,名古屋市西区,5,西円頓寺商店街,13,35.1766076,136.884627,7,15,87,367,0,6,-20,67,7,15,87,367,0,6,0,0,0,0,0,0,0
45,23,愛知県,104,名古屋市西区,6,押切町商店街,13,35.1688469,136.90315,7,27,185,628,0,7,-40,145,7,27,185,628,0,7,0,0,0,0,0,0,0
46,23,愛知県,104,名古屋市西区,16,mozo ワンダーシティ,14,35.2248766,136.882976,127,1731,38308,49545,1,22,-14771,23537,4,55,273,98,3,5,1,123,1676,38035,49447,1,23
47,23,愛知県,104,名古屋市西区,18,イオンタウン名西,13,35.2043093,136.89283,30,402,4248,8696,0,11,-2052,2196,0,0,0,0,0,0,1,30,402,4248,8696,0,11
48,23,愛知県,105,名古屋市中村区,2,中村赤鳥居商業集積地域,12,35.168507,136.852417,19,169,3436,2782,1,20,2063,5499,19,169,3436,2782,1,20,0,0,0,0,0,0,0
49,23,愛知県,105,名古屋市中村区,4,新大門商店街,12,35.169762,136.866745,50,410,6647,9735,1,16,-717,5930,40,184,1802,2683,1,10,1,10,226,4845,7052,1,21
50,23,愛知県,105,名古屋市中村区,6,名古屋駅西銀座通商店街,12,35.1700672,136.875201,11,33,240,438,1,7,107,347,11,33,240,438,1,7,0,0,0,0,0,0,0
51,23,愛知県,105,名古屋市中村区,8,名鉄バスターミナルビル,11,35.1685518,136.884196,29,653,54551,56691,1,84,-20822,33729,0,0,0,0,0,0,1,29,653,54551,56691,1,84
52,23,愛知県,105,名古屋市中村区,13,西柳錦商店街,12,35.170963,136.889252,25,109,2899,1092,3,27,2451,5350,19,85,1850,878,2,22,1,6,24,1049,214,5,44
53,23,愛知県,105,名古屋市中村区,15,広小路西通一丁目商店街,12,35.167845,136.890764,5,32,2201,216,10,69,2146,4347,5,32,2201,216,10,69,0,0,0,0,0,0,0
54,23,愛知県,105,名古屋市中村区,16,メイチカ,11,35.1709469,136.884173,11,104,1433,635,2,14,1214,2647,11,104,1433,635,2,14,0,0,0,0,0,0,0
55,23,愛知県,105,名古屋市中村区,17,ユニモール,11,35.1716246,136.886312,43,183,4188,3049,1,23,2499,6687,43,183,4188,3049,1,23,0,0,0,0,0,0,0
56,23,愛知県,105,名古屋市中村区,18,テルミナ地下街,11,35.170714,136.883597,16,133,2610,873,3,20,2279,4889,16,133,2610,873,3,20,0,0,0,0,0,0,0
57,23,愛知県,105,名古屋市中村区,19,広小路名駅商店街,12,35.167962,136.888628,4,20,1087,555,2,54,901,1988,4,20,1087,555,2,54,0,0,0,0,0,0,0
58,23,愛知県,105,名古屋市中村区,22,椿町商業集積地区,11,35.168995,136.87854,48,484,28689,19538,1,59,9997,38686,43,339,8822,5455,2,26,1,5,145,19867,14083,1,137
